Date,Total indexed
7/1/12,2071
7/8/12,2060
7/15/12,2028
7/22/12,1999
7/29/12,1995
8/5/12,1995
8/12/12,2953
8/19/12,3562
8/26/12,3562
9/2/12,6066
9/9/12,5778
9/16/12,5590
9/23/12,5590
9/30/12,5590
10/7/12,5192
10/14/12,5103
10/21/12,5103
10/28/12,3827
11/4/12,3827
11/11/12,3306
11/18/12,3306
11/25/12,3061
12/2/12,2889
12/9/12,2889
12/16/12,2889
12/23/12,2889
12/30/12,2889
1/6/13,2033
1/13/13,2033
1/20/13,2033
1/27/13,2025
2/3/13,2025
2/10/13,2025
2/17/13,2025
2/24/13,2025
3/3/13,4288
3/10/13,4545
3/17/13,4419
3/24/13,4419
3/31/13,4419
4/7/13,2724
4/14/13,2920
4/21/13,2879
4/28/13,2743
5/5/13,2594
5/12/13,2361
5/19/13,2159
5/26/13,2137
6/2/13,1484
6/9/13,1326
6/16/13,1224
6/23/13,1224
